codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
rans1,209715200,64272089,5.15,4348,6.05,5712,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,38.8349514563106,10.1313455439796,5,2,3
gabac,209715200,47478327,382.51,2057968,12.97,2517268,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RN.cropped,1,0.522862147394839,3.49104557022647,4,6,7
gzip,5382090,354135,2.99,1748,0.07,1620,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,1.71664247544712,4.82470648629324,4,6,2
bzip2,5382090,318181,0.18,9076,0.13,6144,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,28.515338897705,2.33416190514197,2,3,3
xz,5382090,333268,2.84,118460,0.18,7556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,1.80731021182637,1.76571740044487,3,5,5
rans0,5382090,782245,0.14,3620,0.13,4000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,36.6625785827636,5.7385151202862,6,2,1
rans1,5382090,398737,0.13,3044,0.19,4896,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,39.4827769352839,2.00139597842567,5,1,4
gabac,5382090,294934,0.32,121264,0.37,114908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_MF,1,16.0398781299591,0.760191840094489,1,4,7
gzip,94759522,35286214,50.81,1668,1.7,1680,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,1.77858142818998,19.7950329500086,5,5,2
bzip2,94759522,30615717,7.63,9836,5.2,7048,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,11.8440003101353,5.61488903485811,3,3,5
xz,94759522,29659240,126.61,685064,4.2,67792,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,0.713764492270223,6.73458462669735,2,6,4
rans0,94759522,53981986,2.2,4740,2.12,4968,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,41.0771465301513,24.2836007532083,6,1,1
rans1,94759522,29410351,2.43,4896,2.56,5764,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,37.1891861589847,10.9562095254659,1,2,3
gabac,94759522,32510029,27.44,1795248,33.22,1858248,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,3.29335722909376,0.933292585277614,4,4,7
gzip,15727668,3848417,11.55,1776,0.33,1572,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,1.29862104143415,11.1216256112763,5,5,1
bzip2,15727668,3779501,2.01,10524,1,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,7.4622253873455,3.60441303253173,4,3,6
xz,15727668,3483412,15.92,208340,0.46,18100,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,0.942152828427415,7.22182729969853,1,6,4
rans0,15727668,3992286,0.34,3984,0.4,4364,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,44.1149206722483,9.5183515548706,6,1,2
rans1,15727668,3741190,0.42,4048,0.47,5668,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,35.7120786394391,7.59122726765084,3,2,3
gabac,15727668,3541941,5.39,112708,0.89,122360,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,2.78275937450175,3.79534624935535,2,4,5
gzip,16207135,6899419,11.82,1812,0.34,1548,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,1.30764199594152,19.3523491130155,5,5,2
bzip2,16207135,5343810,1.63,9732,0.83,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,9.48241005645939,6.14006548042757,1,3,4
xz,16207135,5608628,19.35,210612,1.08,18080,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,0.79877666108676,4.95259673507125,2,6,5
rans0,16207135,9313215,0.41,4696,0.43,5044,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,37.6983619317775,20.6552882527196,6,1,1
rans1,16207135,6649435,0.52,5636,0.52,6168,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,29.7237084462092,12.1949911117553,4,2,3
gabac,16207135,6515641,3.65,279292,4.75,269156,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,4.23461051836405,1.30816831086811,3,4,7
gzip,94609041,19196927,108.76,1780,2.13,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,0.829590037711712,8.59512499240642,6,5,1
bzip2,94609041,18561867,7.03,10248,4.26,7000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,12.8344541253948,4.15539338555134,5,3,2
xz,94609041,16664004,143.31,686424,5.75,67908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,0.629587694519055,2.76383176057235,3,6,4
rans0,94609041,17624905,1.84,4412,7.38,4564,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,49.0359850551771,2.27756358097562,4,1,5
rans1,94609041,16088653,3.12,4472,5.35,5648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,28.9186578530531,2.86791311246212,2,2,3
gabac,94609041,15117013,36.17,1792848,47.27,1807768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,2.49450407800735,0.304986398114647,1,4,7
gzip,74938431,4684177,27.51,1776,1.58,1648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,2.59785012564456,2.82732866987397,5,5,2
bzip2,74938431,3911262,2.54,9896,1.94,6740,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,28.1365578568826,1.92271655367821,2,3,5
xz,74938431,4437548,36.17,667732,1.24,67848,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,1.97586002091462,3.41288351243542,4,6,1
rans0,74938431,4935010,1.19,3684,1.99,4272,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,60.0561823163713,2.36502125035578,6,1,4
rans1,74938431,4274580,1.96,3740,1.71,5496,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,36.462682120654,2.38395155521861,3,2,3
gabac,74938431,3566526,3.87,1640172,3.68,1643960,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,18.4668881024501,0.924267457879107,1,4,7
gzip,143497442,32956213,245.54,1788,4.82,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,0.557342286003891,6.52064188882028,5,6,4
bzip2,143497442,28407540,18.32,10280,12.3,7052,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,7.46996860837311,2.20256433254335,3,3,5
xz,143497442,28837604,204.91,691460,3.34,67824,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,0.667853325388685,8.23403661122579,4,5,2
rans0,143497442,42890396,3.16,4300,3.22,4768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,43.3069066156314,12.7029407098426,6,2,1
rans1,143497442,26354500,2.92,4208,3.8,5616,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,46.8663783922587,6.61410783466539,1,1,3
gabac,143497442,27373774,31.69,3223952,45.97,3282660,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,4.31839144542112,0.567884820685429,2,4,7
gzip,21511323,10198028,10.7,1676,0.44,1628,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,1.91727067822607,22.1036304127086,3,5,2
bzip2,21511323,10394414,2.35,9936,1.33,6736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,8.72970053490172,7.45329749315304,4,3,4
xz,21511323,7571664,16.47,260880,1.09,23872,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,1.2455856865221,6.62468026537413,1,6,5
rans0,21511323,15832006,0.6,4748,0.53,4992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,34.1913270950317,28.48788207432,6,1,1
rans1,21511323,12627245,0.73,5840,0.71,6424,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,28.1024606260534,16.9609566809425,5,2,3
gabac,21511323,8772494,4.12,408896,2.23,437948,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,4.97931947985899,3.7516153446762,2,4,7
gzip,35897993,767392,2.75,1776,0.52,1596,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,12.4490887035023,1.40738854041466,5,5,2
bzip2,35897993,521488,0.37,9344,0.55,6212,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,92.5270106341387,0.904235839843749,2,1,3
xz,35897993,858068,5.43,387240,0.5,38424,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,6.30478709661719,1.63663482666015,6,6,1
rans0,35897993,529172,0.49,3020,0.63,3608,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,69.8673345604721,0.801044040256076,3,2,4
rans1,35897993,496846,0.65,3176,0.77,4904,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,52.6692214378943,0.615362687544389,1,3,5
gabac,35897993,553206,1.88,810900,1.74,812196,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,18.2101031567188,0.303205950506802,4,4,6
gzip,74938431,40640042,23.75,1784,1.99,1636,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,3.00913081922029,19.4760624487795,3,4,2
bzip2,74938431,40465488,9.3,9856,5.71,6976,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,7.68460827489053,6.75847576295014,2,3,5
xz,74938431,37624888,52.46,667460,4.22,67736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,1.36231141739386,8.50281737991984,1,6,4
rans0,74938431,49788503,1.95,4740,2.02,4900,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,36.6496702340933,23.50594879377,6,1,1
rans1,74938431,43076971,2.7,5232,2.68,6096,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,26.4692062801784,15.3288809221182,4,2,3
gabac,74938431,43323359,45.27,1380056,32.66,1757216,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,1.57868029504046,1.26504515550359,5,5,6
gzip,21816746,3606248,57.19,1768,0.32,1644,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,0.363806090710942,10.7474565505981,6,6,1
bzip2,21816746,3564954,1.86,9932,0.98,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,11.1860593159993,3.46918884588747,5,4,5
xz,21816746,3141680,31.68,262904,0.5,23852,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,0.656757270446931,5.99227905273437,4,5,3
rans0,21816746,3111285,0.43,3936,0.47,4288,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,48.3862100645553,6.31309062876599,3,1,2
rans1,21816746,2897928,0.49,4172,0.54,5568,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,42.4613680158342,5.11792500813802,2,2,4
gabac,21816746,2838891,1.48,471664,1.58,441384,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,14.058155626864,1.71353002137775,1,3,7
gzip,6300035,1745871,1.25,1744,0.13,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,4.80654525756835,12.8076333266038,3,4,2
bzip2,6300035,1309170,0.79,9916,0.4,6720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,7.60529312906386,3.12130451202392,1,3,5
xz,6300035,1333068,6.05,123580,0.23,8556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,0.993087863133958,5.52744658096976,2,5,4
rans0,6300035,3137804,0.17,4520,0.17,4608,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,35.3422445409438,17.602606380687,6,1,1
rans1,6300035,2390313,0.2,4284,0.23,5892,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,30.0409078598022,9.91121789683466,5,2,3
gabac,6300035,2106029,12.74,91728,2.28,105040,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,0.471599809416047,0.88090603811699,4,6,7
gzip,209715200,36382851,36.51,1756,3.13,1576,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,5.4779512462339,11.0854282927589,3,4,2
bzip2,209715200,26580598,33.34,9792,8.49,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,5.998800239952,2.9857754566925,2,3,7
xz,209715200,24198660,189.45,691344,4.74,67764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,1.05568751649511,4.86870053448254,1,6,4
rans0,209715200,107691395,4.56,4516,4.73,4912,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,43.859649122807,21.7130058159535,6,1,1
rans1,209715200,58945050,5.06,4248,5.44,5708,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,39.5256916996047,10.3335257838754,5,2,3
gabac,209715200,37745653,129.16,898156,7.96,922308,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,1.54846701765252,4.52224369624152,4,5,6
gzip,46004543,7556928,134.62,1748,0.67,1640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,0.325905148544844,10.756489767957,5,6,1
bzip2,46004543,7668546,4.21,10360,2.17,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,10.4212235385052,3.37018219556676,6,4,5
xz,46004543,6627128,70.19,473800,0.96,47052,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,0.625065552031727,6.58346017201741,3,5,3
rans0,46004543,7024541,0.76,3988,0.93,4628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,57.7280935488249,7.20335950133621,4,1,2
rans1,46004543,6131304,0.97,3964,1.01,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,45.2302588629968,5.78937341671178,2,2,4
gabac,46004543,6096123,3.04,891272,2.73,895860,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,14.4320233872062,2.12956627646645,1,3,6
gzip,21504107,4655232,27.9,1780,0.41,1688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,0.735050700471392,10.828232183689,6,6,1
bzip2,21504107,4542312,2.32,9780,1.22,6780,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,8.83961833756545,3.55072646844582,5,4,4
xz,21504107,4208612,27.26,258864,0.65,23868,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,0.752307943622591,6.17483872633713,2,5,3
rans0,21504107,4490064,0.63,4012,0.44,4328,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,32.5522453065902,9.73195162686434,4,1,2
rans1,21504107,4259651,0.72,4052,1.35,5720,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,28.4832146432664,3.00912574485496,3,2,5
gabac,21504107,4002501,1.68,469648,1.62,440656,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,12.2070919899713,2.35622370684588,1,3,7
gzip,143196985,69483805,27.16,1768,2.88,1684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,5.02810334246358,23.0086528592639,3,5,3
bzip2,143196985,82291076,14.92,9784,10.22,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,9.15303530705838,7.67895162922062,4,3,4
xz,143196985,48728476,69.96,691416,8.4,67832,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,1.95201953661107,5.53227333795456,1,6,5
rans0,143196985,113676388,3.69,4804,3.27,5080,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,37.0090208079433,33.1529821460035,6,1,1
rans1,143196985,107850655,4.83,6012,4.36,6600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,28.2739724184908,23.5904586424521,5,2,2
gabac,143196985,56291737,16.43,2700660,15.19,3217248,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,8.31182512363427,3.53416614896612,2,4,7
gzip,46004543,2421277,9.17,1820,0.65,1600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,4.78444395824503,3.55247644277719,6,5,1
bzip2,46004543,2033654,1.04,10124,0.87,6696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,42.1859145164489,2.22924550374348,3,3,4
xz,46004543,2334000,19.6,475412,0.75,47172,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,2.23843628046463,2.96783447265625,5,6,2
rans0,46004543,2159887,0.73,3696,0.88,4160,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,60.100480954941,2.34071449799971,4,1,3
rans1,46004543,1782439,0.76,3812,1.02,5448,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,57.7280935488249,1.6665355831969,2,2,5
gabac,46004543,1724255,1.38,724636,2,726060,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,31.7922834037006,0.822188854217529,1,4,6
gzip,87459522,294967,1.61,1804,1.3,1624,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,51.8061489792343,0.216386501605694,4,5,2
bzip2,87459522,177739,1.36,9732,1.13,5944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,61.3293381298289,0.150004530374982,1,3,5
xz,87459522,247952,6.51,678816,0.96,67752,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,12.8122734034665,0.246318181355794,3,6,1
rans0,87459522,335987,1.1,2804,1.52,3412,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,75.8253635059703,0.21080406088578,5,1,3
rans1,87459522,336664,1.44,3084,1.88,4720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,57.9221526781718,0.170780750031166,6,4,4
gabac,87459522,178598,1.16,773948,1.77,1060684,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,71.9033619453167,0.096228432520635,2,2,6
gzip,209715200,29222338,97.15,1772,7.13,1632,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,2.05867215645908,3.90863859971141,2,4,4
bzip2,209715200,32587126,41.78,10584,12.25,6884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,4.78697941598851,2.53693919279137,4,3,7
xz,209715200,24433572,238.44,691356,4.44,67772,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,0.838785438684784,5.24812389064479,1,5,3
rans0,209715200,51763005,3.88,3956,4.36,4640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,51.5463917525773,11.3222588092908,6,1,1
rans1,209715200,50155517,4.61,4108,6.19,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,43.3839479392624,7.72730668642601,5,2,2
gabac,209715200,32001793,401.72,1904708,10.52,2394820,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,0.497859205416708,2.90107300979556,3,6,6
gzip,39434892,25885154,6.99,1764,1.16,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,5.38026375831964,21.2810401258797,4,4,2
bzip2,39434892,26861879,5.17,9900,3.14,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,7.27428310844377,8.1584344244307,6,3,5
xz,39434892,24235928,28.72,417536,2.4,42488,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,1.30947227265509,9.63049252827962,1,6,4
rans0,39434892,26131635,1.06,4704,1.01,4788,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,35.4792864817493,24.6743258863392,5,1,1
rans1,39434892,25107768,1.36,5216,1.25,6188,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,27.6529732872458,19.1557067871093,2,2,3
gabac,39434892,25415017,11.23,806504,7.28,1066020,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,3.3488907988116,3.32934738515497,3,5,7
gzip,209715200,27287226,73.33,1780,3.09,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,2.72739669984999,8.42172381947341,3,4,3
bzip2,209715200,27143478,44.96,10160,9.67,7036,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,4.44839857651245,2.67694289829763,2,3,7
xz,209715200,23845980,194.93,691356,4,67756,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,1.02600933668496,5.68532466888427,1,6,4
rans0,209715200,54492638,4.13,4112,4.48,4684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,48.4261501210653,11.6000511816569,6,1,1
rans1,209715200,50973546,4.76,4120,5.22,5688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,42.016806722689,9.31267464297941,5,2,2
gabac,209715200,30054402,124.22,888704,7.35,914320,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,1.61004669135404,3.89960697719029,4,5,5
gzip,46004543,9771825,85.99,1884,2.34,1628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,0.510214572591079,3.9825378320156,6,6,3
bzip2,46004543,9743522,8.64,9844,9.06,6752,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,5.07793415475774,1.02562325416548,5,3,5
xz,46004543,8728180,67.46,473536,2.54,47560,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,0.65036097090286,3.27710279329555,4,5,4
rans0,46004543,8450998,1.2,4024,1.95,4420,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,36.5611259142557,4.13307679005158,3,2,2
rans1,46004543,7926372,1.03,4096,1.68,5600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,42.5954865020455,4.49951035635812,2,1,1
gabac,46004543,7850112,8.74,889908,7.97,897544,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,5.01983422163694,0.939328757253764,1,4,6
gzip,68672005,13814911,79.17,1880,1.15,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,0.827216463617804,11.4564572209897,5,5,1
bzip2,68672005,13247566,6.64,10092,3.47,6944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,9.86306135912975,3.64088283835639,3,3,5
xz,68672005,12323816,87.69,660824,1.56,67836,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,0.746843738449328,7.53391461494641,2,6,4
rans0,68672005,16186536,1.25,4096,1.49,4340,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,52.3925819396972,10.360190372339,6,1,2
rans1,68672005,13713596,1.4,3960,1.73,5704,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,46.7790910175868,7.55971346287369,4,2,3
gabac,68672005,12149634,12.43,1078444,10.65,1090484,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,5.26876326827205,1.08796186850104,1,4,6
gzip,51186215,16978500,29.75,1748,0.95,1700,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,1.64083961679154,17.0441677695826,6,5,1
bzip2,51186215,16815834,5.53,9856,2.99,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,8.82730173590385,5.36348795811069,5,4,5
xz,51186215,15553668,66.34,519076,1.8,52680,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,0.735830247204527,8.24062983194987,2,6,4
rans0,51186215,16634341,1.38,4304,1.11,4600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,35.3731728982234,14.291661064904,4,2,2
rans1,51186215,15583965,1.28,4448,1.27,5840,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,38.1367020308971,11.702383597066,3,1,3
gabac,51186215,14046774,3.04,805220,3.97,818884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,16.0575587498514,3.37431929273629,1,3,6
