codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
xz,21504107,4208612,0.195712009803523,27.26,258864,0.65,23868,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,0.752307944,6.174838726,2,5,3
rANS-0,21504107,4490064,0.208800300333327,0.63,4012,0.44,4328,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,32.55224531,9.731951627,4,1,2
rANS-1,21504107,4259651,0.198085463395434,0.72,4052,1.35,5720,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,28.48321464,3.009125745,3,2,5
GABAC,21504107,4002501,0.18612728256979,1.68,469648,1.62,440656,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,DS_BS,2,12.20709199,2.356223707,1,3,7
gzip,143196985,69483805,0.485232318264243,27.16,1768,2.88,1684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,5.028103342,23.00865286,3,5,3
bzip2,143196985,82291076,0.574670451336668,14.92,9784,10.22,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,9.153035307,7.678951629,4,3,4
xz,143196985,48728476,0.340289818252807,69.96,691416,8.4,67832,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,1.952019537,5.532273338,1,6,5
rANS-0,143196985,113676388,0.793846239150915,3.69,4804,3.27,5080,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,37.00902081,33.15298215,6,1,1
rANS-1,143196985,107850655,0.753162889567822,4.83,6012,4.36,6600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,28.27397242,23.59045864,5,2,2
GABAC,143196985,56291737,0.393106998726265,16.43,2700660,15.19,3217248,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,DS_NP,2,8.311825124,3.534166149,2,4,7
gzip,46004543,2421277,0.052631258612872,9.17,1820,0.65,1600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,4.784443958,3.552476443,6,5,1
bzip2,46004543,2033654,0.044205503791223,1.04,10124,0.87,6696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,42.18591452,2.229245504,3,3,4
xz,46004543,2334000,0.050734119888986,19.6,475412,0.75,47172,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,2.23843628,2.967834473,5,6,2
rANS-0,46004543,2159887,0.046949428451012,0.73,3696,0.88,4160,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,60.10048095,2.340714498,4,1,3
rANS-1,46004543,1782439,0.038744847438219,0.76,3812,1.02,5448,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,57.72809355,1.666535583,2,2,5
GABAC,46004543,1724255,0.037480102780284,1.38,724636,2,726060,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,DS_XGC,2,31.7922834,0.822188854,1,4,6
gzip,209715200,29222338,0.139342966079712,97.15,1772,7.13,1632,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,2.058672156,3.9086386,2,4,4
bzip2,209715200,32587126,0.155387525558472,41.78,10584,12.25,6884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,4.786979416,2.536939193,4,3,7
xz,209715200,24433572,0.116508350372314,238.44,691356,4.44,67772,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,0.838785439,5.248123891,1,5,3
rANS-0,209715200,51763005,0.246825242042541,3.88,3956,4.36,4640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,51.54639175,11.32225881,6,1,1
rANS-1,209715200,50155517,0.239160141944885,4.61,4108,6.19,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,43.38394794,7.727306686,5,2,2
GABAC,209715200,32001793,0.152596440315247,401.72,1904708,10.52,2394820,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,DS_BA,2,0.497859205,2.90107301,3,6,6
gzip,39434892,25885154,0.656402304842118,6.99,1764,1.16,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,5.380263758,21.28104013,4,4,2
bzip2,39434892,26861879,0.681170345287113,5.17,9900,3.14,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,7.274283108,8.158434424,6,3,5
xz,39434892,24235928,0.614580813356862,28.72,417536,2.4,42488,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,1.309472273,9.630492528,1,6,4
rANS-0,39434892,26131635,0.662652632597548,1.06,4704,1.01,4788,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,35.47928648,24.67432589,5,1,1
rANS-1,39434892,25107768,0.636689153351808,1.36,5216,1.25,6188,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,27.65297329,19.15570679,2,2,3
GABAC,39434892,25415017,0.644480451474293,11.23,806504,7.28,1066020,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,DS_FP,2,3.348890799,3.329347385,3,5,7
gzip,209715200,27287226,0.130115633010864,73.33,1780,3.09,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,2.7273967,8.421723819,3,4,3
bzip2,209715200,27143478,0.12943018913269,44.96,10160,9.67,7036,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,4.448398577,2.676942898,2,3,7
xz,209715200,23845980,0.113706493377686,194.93,691356,4,67756,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,1.026009337,5.685324669,1,6,4
rANS-0,209715200,54492638,0.259841146469116,4.13,4112,4.48,4684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,48.42615012,11.60005118,6,1,1
rANS-1,209715200,50973546,0.243060808181763,4.76,4120,5.22,5688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,42.01680672,9.312674643,5,2,2
GABAC,209715200,30054402,0.143310556411743,124.22,888704,7.35,914320,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,DS_SC,2,1.610046691,3.899606977,4,5,5
gzip,46004543,9771825,0.212410000464519,85.99,1884,2.34,1628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,0.510214573,3.982537832,6,6,3
bzip2,46004543,9743522,0.211794778615668,8.64,9844,9.06,6752,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,5.077934155,1.025623254,5,3,5
xz,46004543,8728180,0.189724306140809,67.46,473536,2.54,47560,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,0.650360971,3.277102793,4,5,4
rANS-0,46004543,8450998,0.18369920553281,1.2,4024,1.95,4420,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,36.56112591,4.13307679,3,2,2
rANS-1,46004543,7926372,0.172295418737232,1.03,4096,1.68,5600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,42.5954865,4.499510356,2,1,1
GABAC,46004543,7850112,0.170637756362453,8.74,889908,7.97,897544,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,DS_AMC,2,5.019834222,0.939328757,1,4,6
gzip,51186215,16978500,0.331700634633758,29.75,1748,0.95,1700,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,1.640839617,17.04416777,6,5,1
bzip2,51186215,16815834,0.328522708701942,5.53,9856,2.99,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,8.827301736,5.363487958,5,4,5
xz,51186215,15553668,0.30386439005111,66.34,519076,1.8,52680,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,0.735830247,8.240629832,2,6,4
rANS-0,51186215,16634341,0.324976968896802,1.38,4304,1.11,4600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,35.3731729,14.29166106,4,2,2
rANS-1,51186215,15583965,0.304456287693864,1.28,4448,1.27,5840,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,38.13670203,11.7023836,3,1,3
GABAC,51186215,14046774,0.274424940386782,3.04,805220,3.97,818884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,DS_TL,2,16.05755875,3.374319293,1,3,6
gzip,80459456,22656176,0.28158500102213,64.19,1780,1.86,1544,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,1.195390508,11.61645869,5,4,2
bzip2,80459456,20367792,0.253143545986689,18,9940,11.47,6956,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,4.262895372,1.693482137,2,3,7
xz,80459456,19911312,0.247470129551957,113.38,672608,2.21,67708,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,0.676769419,8.592265548,1,6,4
rANS-0,80459456,31644402,0.393296245999973,1.81,4468,1.98,4516,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,42.39343464,15.24164315,6,1,1
rANS-1,80459456,21466343,0.266797018861276,1.84,4288,2.05,5764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,41.70223734,9.986292676,3,2,3
GABAC,80459456,22327488,0.277499862788036,94.96,558760,4.21,573232,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BF,DS_BF,2,0.808046722,5.057755785,4,5,5
gzip,46004543,2196358,0.047742197982491,9.4,1684,0.66,1636,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,4.667377776,3.17365184,6,5,1
bzip2,46004543,1819282,0.039545703127624,0.93,9728,0.8,6760,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,47.17564634,2.168753147,3,3,3
xz,46004543,2140036,0.046517927588152,18.76,474800,0.73,48488,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,2.338664771,2.795749821,5,6,2
rANS-0,46004543,1886289,0.041002233192492,0.66,3608,0.83,4148,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,66.47477439,2.167355871,4,1,4
rANS-1,46004543,1562226,0.033958081052995,0.83,3576,1.01,5460,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,52.85945915,1.475103775,2,2,5
GABAC,46004543,1519300,0.033024999291918,1.27,724636,1.93,725740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XOC,DS_XOC,2,34.54594575,0.750734398,1,4,7
gzip,50716215,8954452,0.176559942416838,81.28,1776,4.94,1696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,0.595063382,1.728670221,6,6,4
bzip2,50716215,8629596,0.170154574823851,4.48,10628,6.69,6776,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,10.79614993,1.230168022,5,3,5
xz,50716215,7954800,0.156849244368887,72.85,516596,1.12,53596,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,0.663922466,6.773471832,4,5,1
rANS-0,50716215,7512089,0.148120063770532,0.86,3940,1.36,4348,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,56.24040892,5.267710545,3,1,3
rANS-1,50716215,7053346,0.139074771254125,0.96,3832,1.12,5660,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,50.38203299,6.005888326,2,2,2
GABAC,50716215,6883003,0.13571602297214,5.3,926400,7.16,933240,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_CF,DS_CF,2,9.125802202,0.916779774,1,4,6
gzip,98916182,54077990,0.546705189248004,84.85,1772,2.09,1644,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,1.111771623,24.67597615,5,5,1
bzip2,98916182,46061941,0.465666386112638,10.75,10408,6.86,6976,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,8.775239279,6.403511676,1,3,5
xz,98916182,46192064,0.466981873602845,92.45,690788,5.09,67768,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,1.02037666,8.654653253,2,6,4
rANS-0,98916182,61858177,0.625359529141551,2.64,4844,2.57,4892,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,35.73250843,22.95430143,6,1,2
rANS-1,98916182,53428310,0.540137204244296,3.51,5824,3.3,6224,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,26.87573283,15.44036576,4,2,3
GABAC,98916182,51317657,0.518799411404698,14.04,1828104,12.25,1879464,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TS,DS_TS,2,6.718933209,3.995129099,3,4,6
gzip,46004543,11322092,0.246108128929789,88.11,1784,0.76,1692,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,0.497938385,14.20735309,5,6,1
bzip2,46004543,11488202,0.24971885928744,4.23,9788,2.53,7004,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,10.37195061,4.330436043,6,4,5
xz,46004543,10040952,0.218260009669045,71.12,473868,1.16,49016,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,0.616891888,8.254998306,4,5,3
rANS-0,46004543,10004413,0.217465762022677,0.85,4128,1.02,4716,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,51.61570717,9.353874244,3,1,2
rANS-1,46004543,9204125,0.200069914834281,1.03,4220,1.11,5636,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,42.5954865,7.907871727,1,2,4
GABAC,46004543,9206247,0.200116040713631,3.1,724532,4.02,733600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FN,DS_FN,2,14.1526939,2.184020227,2,3,7
gzip,46004543,10059720,0.218667969378589,84.93,1780,0.77,1696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,0.516582493,12.45934623,6,6,1
bzip2,46004543,9926582,0.21577395084655,4.45,9936,2.34,6668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,9.859180022,4.045609531,5,3,5
xz,46004543,8925156,0.194005970236461,64.21,475296,1.08,48372,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,0.683279101,7.88119634,3,5,3
rANS-0,46004543,8969974,0.194980178370645,0.85,4072,1.07,4616,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,51.61570717,7.994797965,4,1,2
rANS-1,46004543,8204633,0.178343973550612,1.03,4100,1.16,5680,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,42.5954865,6.7452998,2,2,4
GABAC,46004543,8117201,0.176443465594257,4.84,890700,4.18,898664,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQ,DS_MQ,2,9.064741962,1.851953616,1,4,7
gzip,1236281,247370,0.200092050270125,0.59,1768,0.02,1608,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,1.998321081,11.79552078,3,4,2
bzip2,1236281,231002,0.186852341821964,0.18,8792,0.06,5940,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,6.550052431,3.671677907,2,3,5
xz,1236281,220108,0.178040429319871,0.83,81580,0.03,4168,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,1.420493298,6.997044881,1,5,4
rANS-0,1236281,352527,0.285151191355363,0.02,3180,0.02,2768,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,58.95047188,16.80979729,6,1,1
rANS-1,1236281,326591,0.264172142093909,0.02,3216,0.03,4172,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,58.95047188,10.38204829,5,1,3
GABAC,1236281,267545,0.216411155716217,0.15,41136,0.1,41588,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_IN,DS_IN,2,7.860062917,2.55150795,4,2,6
gzip,24897704,3197854,0.128439714762454,5.26,1776,0.41,1548,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,4.514125635,7.438320067,3,5,3
bzip2,24897704,3140951,0.126154242977585,3.46,10656,0.75,6772,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,6.862514694,3.99392573,2,4,4
xz,24897704,2129800,0.085542024276616,19.35,290204,0.57,26696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,1.227095651,3.563395718,1,6,5
rANS-0,24897704,12396320,0.497890086571838,0.6,4620,0.62,4628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,39.57383474,19.06782581,6,1,1
rANS-1,24897704,6742831,0.27082139782849,0.66,4264,0.66,5680,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,35.9762134,9.743128401,5,2,2
GABAC,24897704,3261890,0.131011678827895,3.01,288436,1.26,364136,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XAZ,DS_XAZ,2,7.888472041,2.468873584,4,3,6
gzip,39434892,7367336,0.186822776134394,90.65,1736,0.65,1640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,0.414870862,10.80929096,6,6,1
bzip2,39434892,7285920,0.184758208542831,3.39,10188,1.87,6848,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,11.09381819,3.715719131,5,4,5
xz,39434892,6461412,0.163850125416852,56.05,416176,0.95,41356,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,0.670973125,6.486402813,3,5,4
rANS-0,39434892,6749498,0.171155483321724,0.69,3920,0.89,4296,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,54.50441112,7.232385271,4,1,2
rANS-1,39434892,6290853,0.159525047006595,0.87,3956,0.92,5540,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,43.2276364,6.521114059,2,2,3
GABAC,39434892,6091908,0.154480149203908,2.7,839188,2.69,845144,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FC,DS_FC,2,13.92890506,2.159738363,1,3,7
gzip,31755737,650769,0.02049295848495,1.89,1764,0.5,1644,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,16.02361417,1.241243362,4,5,3
bzip2,31755737,516860,0.016276114139628,0.53,9732,0.45,6168,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,57.14081278,1.095369127,1,3,5
xz,31755737,538704,0.016963989845363,6.12,351264,0.44,33560,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,4.948469081,1.167609475,3,6,4
rANS-0,31755737,1334186,0.0420140146645,0.5,3800,0.6,4444,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,60.56926155,2.120631536,6,2,1
rANS-1,31755737,897255,0.028254894540788,0.61,4576,0.64,5484,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,49.6469357,1.337014139,5,4,2
GABAC,31755737,538314,0.01695170859993,0.46,284120,0.76,304012,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_X1C,DS_X1C,2,65.83615386,0.675495047,2,1,7
gzip,46004543,7550690,0.164129225237603,42.78,1772,0.74,1640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,1.025557529,9.730944762,6,5,1
bzip2,46004543,7221331,0.156969954032583,2.7,9848,1.7,6828,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,16.2493893,4.051057591,5,4,5
xz,46004543,6564916,0.142701471895939,60.39,474912,1.1,48520,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,0.726500267,5.69162889,3,6,3
rANS-0,46004543,6734951,0.146397519914501,0.86,4020,0.96,4556,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,51.01552453,6.690572699,4,1,2
rANS-1,46004543,6017344,0.130798908273037,0.97,4080,1.11,5676,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,45.23025886,5.169897681,2,2,4
GABAC,46004543,5862340,0.12742958885604,1.76,724612,2.44,730052,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XMC,DS_XMC,2,24.9280404,2.291296349,1,3,6
gzip,15288203,11694785,0.764954847865377,1.17,1740,0.32,1684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NF,DS_NF,2,12.46150987,34.85317528,5,3,1
