codec,uncompressed_size,compressed_size,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
bzip2,94759522,30615717,7.63,9836,5.2,7048,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,11.84400031,5.614889035,3,3,5
xz,94759522,29659240,126.61,685064,4.2,67792,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,0.713764492,6.734584627,2,6,4
rANS-0,94759522,53981986,2.2,4740,2.12,4968,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,41.07714653,24.28360075,6,1,1
rANS-1,94759522,29410351,2.43,4896,2.56,5764,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,37.18918616,10.95620953,1,2,3
GABAC,94759522,32510029,27.44,1795248,33.22,1858248,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_XSC,1,3.293357229,0.933292585,4,4,7
gzip,15727668,3848417,11.55,1776,0.33,1572,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,1.298621041,11.12162561,5,5,1
bzip2,15727668,3779501,2.01,10524,1,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,7.462225387,3.604413033,4,3,6
xz,15727668,3483412,15.92,208340,0.46,18100,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,0.942152828,7.2218273,1,6,4
rANS-0,15727668,3992286,0.34,3984,0.4,4364,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,44.11492067,9.518351555,6,1,2
rANS-1,15727668,3741190,0.42,4048,0.47,5668,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,35.71207864,7.591227268,3,2,3
GABAC,15727668,3541941,5.39,112708,0.89,122360,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BA,1,2.782759375,3.795346249,2,4,5
gzip,16207135,6899419,11.82,1812,0.34,1548,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,1.307641996,19.35234911,5,5,2
bzip2,16207135,5343810,1.63,9732,0.83,6816,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,9.482410056,6.14006548,1,3,4
xz,16207135,5608628,19.35,210612,1.08,18080,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,0.798776661,4.952596735,2,6,5
rANS-0,16207135,9313215,0.41,4696,0.43,5044,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,37.69836193,20.65528825,6,1,1
rANS-1,16207135,6649435,0.52,5636,0.52,6168,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,29.72370845,12.19499111,4,2,3
GABAC,16207135,6515641,3.65,279292,4.75,269156,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_TS,1,4.234610518,1.308168311,3,4,7
gzip,94609041,19196927,108.76,1780,2.13,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,0.829590038,8.595124992,6,5,1
bzip2,94609041,18561867,7.03,10248,4.26,7000,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,12.83445413,4.155393386,5,3,2
xz,94609041,16664004,143.31,686424,5.75,67908,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,0.629587695,2.763831761,3,6,4
rANS-0,94609041,17624905,1.84,4412,7.38,4564,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,49.03598506,2.277563581,4,1,5
rANS-1,94609041,16088653,3.12,4472,5.35,5648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,28.91865785,2.867913112,2,2,3
GABAC,94609041,15117013,36.17,1792848,47.27,1807768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FN,1,2.494504078,0.304986398,1,4,7
gzip,74938431,4684177,27.51,1776,1.58,1648,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,2.597850126,2.82732867,5,5,2
bzip2,74938431,3911262,2.54,9896,1.94,6740,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,28.13655786,1.922716554,2,3,5
xz,74938431,4437548,36.17,667732,1.24,67848,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,1.975860021,3.412883512,4,6,1
rANS-0,74938431,4935010,1.19,3684,1.99,4272,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,60.05618232,2.36502125,6,1,4
rANS-1,74938431,4274580,1.96,3740,1.71,5496,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,36.46268212,2.383951555,3,2,3
GABAC,74938431,3566526,3.87,1640172,3.68,1643960,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FC,1,18.4668881,0.924267458,1,4,7
gzip,143497442,32956213,245.54,1788,4.82,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,0.557342286,6.520641889,5,6,4
bzip2,143497442,28407540,18.32,10280,12.3,7052,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,7.469968608,2.202564333,3,3,5
xz,143497442,28837604,204.91,691460,3.34,67824,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,0.667853325,8.234036611,4,5,2
rANS-0,143497442,42890396,3.16,4300,3.22,4768,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,43.30690662,12.70294071,6,2,1
rANS-1,143497442,26354500,2.92,4208,3.8,5616,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,46.86637839,6.614107835,1,1,3
GABAC,143497442,27373774,31.69,3223952,45.97,3282660,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BF,1,4.318391445,0.567884821,2,4,7
gzip,21511323,10198028,10.7,1676,0.44,1628,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,1.917270678,22.10363041,3,5,2
bzip2,21511323,10394414,2.35,9936,1.33,6736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,8.729700535,7.453297493,4,3,4
xz,21511323,7571664,16.47,260880,1.09,23872,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,1.245585687,6.624680265,1,6,5
rANS-0,21511323,15832006,0.6,4748,0.53,4992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,34.1913271,28.48788207,6,1,1
rANS-1,21511323,12627245,0.73,5840,0.71,6424,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,28.10246063,16.96095668,5,2,3
GABAC,21511323,8772494,4.12,408896,2.23,437948,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,1,4.97931948,3.751615345,2,4,7
gzip,35897993,767392,2.75,1776,0.52,1596,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,12.4490887,1.40738854,5,5,2
bzip2,35897993,521488,0.37,9344,0.55,6212,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,92.52701063,0.90423584,2,1,3
xz,35897993,858068,5.43,387240,0.5,38424,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,6.304787097,1.636634827,6,6,1
rANS-0,35897993,529172,0.49,3020,0.63,3608,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,69.86733456,0.80104404,3,2,4
rANS-1,35897993,496846,0.65,3176,0.77,4904,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,52.66922144,0.615362688,1,3,5
GABAC,35897993,553206,1.88,810900,1.74,812196,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NS,2,18.21010316,0.303205951,4,4,6
gzip,74938431,40640042,23.75,1784,1.99,1636,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,3.009130819,19.47606245,3,4,2
bzip2,74938431,40465488,9.3,9856,5.71,6976,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,7.684608275,6.758475763,2,3,5
xz,74938431,37624888,52.46,667460,4.22,67736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,1.362311417,8.50281738,1,6,4
rANS-0,74938431,49788503,1.95,4740,2.02,4900,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,36.64967023,23.50594879,6,1,1
rANS-1,74938431,43076971,2.7,5232,2.68,6096,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,26.46920628,15.32888092,4,2,3
GABAC,74938431,43323359,45.27,1380056,32.66,1757216,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,1,1.578680295,1.265045156,5,5,6
gzip,21816746,3606248,57.19,1768,0.32,1644,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,0.363806091,10.74745655,6,6,1
bzip2,21816746,3564954,1.86,9932,0.98,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,11.18605932,3.469188846,5,4,5
xz,21816746,3141680,31.68,262904,0.5,23852,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,0.65675727,5.992279053,4,5,3
rANS-0,21816746,3111285,0.43,3936,0.47,4288,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,48.38621006,6.313090629,3,1,2
rANS-1,21816746,2897928,0.49,4172,0.54,5568,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,42.46136802,5.117925008,2,2,4
GABAC,21816746,2838891,1.48,471664,1.58,441384,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_MQC,2,14.05815563,1.713530021,1,3,7
gzip,6300035,1745871,1.25,1744,0.13,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,4.806545258,12.80763333,3,4,2
bzip2,6300035,1309170,0.79,9916,0.4,6720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,7.605293129,3.121304512,1,3,5
xz,6300035,1333068,6.05,123580,0.23,8556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,0.993087863,5.527446581,2,5,4
rANS-0,6300035,3137804,0.17,4520,0.17,4608,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,35.34224454,17.60260638,6,1,1
rANS-1,6300035,2390313,0.2,4284,0.23,5892,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,30.04090786,9.911217897,5,2,3
GABAC,6300035,2106029,12.74,91728,2.28,105040,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,1,0.471599809,0.880906038,4,6,7
gzip,209715200,36382851,36.51,1756,3.13,1576,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,5.477951246,11.08542829,3,4,2
bzip2,209715200,26580598,33.34,9792,8.49,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,5.99880024,2.985775457,2,3,7
xz,209715200,24198660,189.45,691344,4.74,67764,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,1.055687516,4.868700534,1,6,4
rANS-0,209715200,107691395,4.56,4516,4.73,4912,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,43.85964912,21.71300582,6,1,1
rANS-1,209715200,58945050,5.06,4248,5.44,5708,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,39.5256917,10.33352578,5,2,3
GABAC,209715200,37745653,129.16,898156,7.96,922308,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_RN.cropped,2,1.548467018,4.522243696,4,5,6
gzip,46004543,7556928,134.62,1748,0.67,1640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,0.325905149,10.75648977,5,6,1
bzip2,46004543,7668546,4.21,10360,2.17,6824,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,10.42122354,3.370182196,6,4,5
xz,46004543,6627128,70.19,473800,0.96,47052,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,0.625065552,6.583460172,3,5,3
rANS-0,46004543,7024541,0.76,3988,0.93,4628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,57.72809355,7.203359501,4,1,2
rANS-1,46004543,6131304,0.97,3964,1.01,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,45.23025886,5.789373417,2,2,4
GABAC,46004543,6096123,3.04,891272,2.73,895860,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SMC,2,14.43202339,2.129566276,1,3,6
gzip,21504107,4655232,27.9,1780,0.41,1688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,0.7350507,10.82823218,6,6,1
bzip2,21504107,4542312,2.32,9780,1.22,6780,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,8.839618338,3.550726468,5,4,4
xz,21504107,4208612,27.26,258864,0.65,23868,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,0.752307944,6.174838726,2,5,3
rANS-0,21504107,4490064,0.63,4012,0.44,4328,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,32.55224531,9.731951627,4,1,2
rANS-1,21504107,4259651,0.72,4052,1.35,5720,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,28.48321464,3.009125745,3,2,5
GABAC,21504107,4002501,1.68,469648,1.62,440656,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BS,2,12.20709199,2.356223707,1,3,7
gzip,143196985,69483805,27.16,1768,2.88,1684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,5.028103342,23.00865286,3,5,3
bzip2,143196985,82291076,14.92,9784,10.22,6952,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,9.153035307,7.678951629,4,3,4
xz,143196985,48728476,69.96,691416,8.4,67832,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,1.952019537,5.532273338,1,6,5
rANS-0,143196985,113676388,3.69,4804,3.27,5080,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,37.00902081,33.15298215,6,1,1
rANS-1,143196985,107850655,4.83,6012,4.36,6600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,28.27397242,23.59045864,5,2,2
GABAC,143196985,56291737,16.43,2700660,15.19,3217248,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_NP,2,8.311825124,3.534166149,2,4,7
gzip,46004543,2421277,9.17,1820,0.65,1600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,4.784443958,3.552476443,6,5,1
bzip2,46004543,2033654,1.04,10124,0.87,6696,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,42.18591452,2.229245504,3,3,4
xz,46004543,2334000,19.6,475412,0.75,47172,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,2.23843628,2.967834473,5,6,2
rANS-0,46004543,2159887,0.73,3696,0.88,4160,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,60.10048095,2.340714498,4,1,3
rANS-1,46004543,1782439,0.76,3812,1.02,5448,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,57.72809355,1.666535583,2,2,5
GABAC,46004543,1724255,1.38,724636,2,726060,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_XGC,2,31.7922834,0.822188854,1,4,6
gzip,87459522,294967,1.61,1804,1.3,1624,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,51.80614898,0.216386502,4,5,2
bzip2,87459522,177739,1.36,9732,1.13,5944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,61.32933813,0.15000453,1,3,5
xz,87459522,247952,6.51,678816,0.96,67752,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,12.8122734,0.246318181,3,6,1
rANS-0,87459522,335987,1.1,2804,1.52,3412,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,75.82536351,0.210804061,5,1,3
rANS-1,87459522,336664,1.44,3084,1.88,4720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,57.92215268,0.17078075,6,4,4
GABAC,87459522,178598,1.16,773948,1.77,1060684,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,1,71.90336195,0.096228433,2,2,6
gzip,209715200,29222338,97.15,1772,7.13,1632,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,2.058672156,3.9086386,2,4,4
bzip2,209715200,32587126,41.78,10584,12.25,6884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,4.786979416,2.536939193,4,3,7
xz,209715200,24433572,238.44,691356,4.44,67772,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,0.838785439,5.248123891,1,5,3
rANS-0,209715200,51763005,3.88,3956,4.36,4640,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,51.54639175,11.32225881,6,1,1
rANS-1,209715200,50155517,4.61,4108,6.19,5668,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,43.38394794,7.727306686,5,2,2
GABAC,209715200,32001793,401.72,1904708,10.52,2394820,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_BA.cropped,2,0.497859205,2.90107301,3,6,6
gzip,39434892,25885154,6.99,1764,1.16,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,5.380263758,21.28104013,4,4,2
bzip2,39434892,26861879,5.17,9900,3.14,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,7.274283108,8.158434424,6,3,5
xz,39434892,24235928,28.72,417536,2.4,42488,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,1.309472273,9.630492528,1,6,4
rANS-0,39434892,26131635,1.06,4704,1.01,4788,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,35.47928648,24.67432589,5,1,1
rANS-1,39434892,25107768,1.36,5216,1.25,6188,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,27.65297329,19.15570679,2,2,3
GABAC,39434892,25415017,11.23,806504,7.28,1066020,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_FP,2,3.348890799,3.329347385,3,5,7
gzip,209715200,27287226,73.33,1780,3.09,1740,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,2.7273967,8.421723819,3,4,3
bzip2,209715200,27143478,44.96,10160,9.67,7036,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,4.448398577,2.676942898,2,3,7
xz,209715200,23845980,194.93,691356,4,67756,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,1.026009337,5.685324669,1,6,4
rANS-0,209715200,54492638,4.13,4112,4.48,4684,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,48.42615012,11.60005118,6,1,1
rANS-1,209715200,50973546,4.76,4120,5.22,5688,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,42.01680672,9.312674643,5,2,2
GABAC,209715200,30054402,124.22,888704,7.35,914320,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_SC.cropped,2,1.610046691,3.899606977,4,5,5
gzip,46004543,9771825,85.99,1884,2.34,1628,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,0.510214573,3.982537832,6,6,3
bzip2,46004543,9743522,8.64,9844,9.06,6752,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,5.077934155,1.025623254,5,3,5
xz,46004543,8728180,67.46,473536,2.54,47560,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,0.650360971,3.277102793,4,5,4
rANS-0,46004543,8450998,1.2,4024,1.95,4420,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,36.56112591,4.13307679,3,2,2
rANS-1,46004543,7926372,1.03,4096,1.68,5600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,42.5954865,4.499510356,2,1,1
GABAC,46004543,7850112,8.74,889908,7.97,897544,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_AMC,2,5.019834222,0.939328757,1,4,6
gzip,68672005,13814911,79.17,1880,1.15,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,0.827216464,11.45645722,5,5,1
bzip2,68672005,13247566,6.64,10092,3.47,6944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,9.863061359,3.640882838,3,3,5
xz,68672005,12323816,87.69,660824,1.56,67836,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,0.746843738,7.533914615,2,6,4
rANS-0,68672005,16186536,1.25,4096,1.49,4340,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,52.39258194,10.36019037,6,1,2
rANS-1,68672005,13713596,1.4,3960,1.73,5704,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,46.77909102,7.559713463,4,2,3
GABAC,68672005,12149634,12.43,1078444,10.65,1090484,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,1,5.268763268,1.087961869,1,4,6
gzip,51186215,16978500,29.75,1748,0.95,1700,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,1.640839617,17.04416777,6,5,1
bzip2,51186215,16815834,5.53,9856,2.99,6896,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,8.827301736,5.363487958,5,4,5
xz,51186215,15553668,66.34,519076,1.8,52680,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,0.735830247,8.240629832,2,6,4
rANS-0,51186215,16634341,1.38,4304,1.11,4600,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,35.3731729,14.29166106,4,2,2
rANS-1,51186215,15583965,1.28,4448,1.27,5840,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,38.13670203,11.7023836,3,1,3
GABAC,51186215,14046774,3.04,805220,3.97,818884,02_NA12878_S1.chr11.bam.cram_rawstreams.DS_TL,2,16.05755875,3.374319293,1,3,6
gzip,7167575,1986782,0.6,1816,0.31,1604,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,11.39255365,6.112074083,3,3,3
bzip2,7167575,1702860,1.57,10468,0.87,6700,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,4.353842158,1.866636605,2,4,6
xz,7167575,1530420,2.32,131568,0.29,9344,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,2.946350081,5.032835336,1,5,4
rANS-0,7167575,5281280,0.26,4840,0.24,4868,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,26.29050842,20.98592122,6,1,1
rANS-1,7167575,3696405,0.29,5572,0.29,6012,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,23.57080065,12.15574659,5,2,2
GABAC,7167575,2025097,9.58,100240,1.14,115380,02_NA12878_S1.chr11.bam.cram_rawstreams.Container,2,0.713521105,1.694107892,4,6,7
gzip,94139522,15188726,311.13,1792,1.83,1676,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,1,0.288556051,7.915354036,5,6,1
